LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5528677601304719
Amygdala;DICE;STD;0.047947525446912255
Amygdala;HDRFDST;MEAN;12.825760265053933
Amygdala;HDRFDST;STD;1.2246932772591328
GreyMatter;DICE;MEAN;0.7248263918801863
GreyMatter;DICE;STD;0.008381210551680163
GreyMatter;HDRFDST;MEAN;2.1892922226992164
GreyMatter;HDRFDST;STD;0.3271078776622815
Hippocampus;DICE;MEAN;0.5444934889352594
Hippocampus;DICE;STD;0.01956455644556042
Hippocampus;HDRFDST;MEAN;13.55257272462855
Hippocampus;HDRFDST;STD;1.0619663571198197
Thalamus;DICE;MEAN;0.7536737693105053
Thalamus;DICE;STD;0.028412758563349474
Thalamus;HDRFDST;MEAN;14.914075478304
Thalamus;HDRFDST;STD;0.9850647833779007
WhiteMatter;DICE;MEAN;0.8246736492888299
WhiteMatter;DICE;STD;0.01901123883966649
WhiteMatter;HDRFDST;MEAN;2.8297325123234525
WhiteMatter;HDRFDST;STD;0.3043253336474005
