LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.46511552620964897
Amygdala;DICE;STD;0.03935420108901244
Amygdala;HDRFDST;MEAN;81.7812328338293
Amygdala;HDRFDST;STD;5.893212721342942
GreyMatter;DICE;MEAN;0.6992592676848572
GreyMatter;DICE;STD;0.00912677813808454
GreyMatter;HDRFDST;MEAN;2.4180339887498947
GreyMatter;HDRFDST;STD;0.39129481117218173
Hippocampus;DICE;MEAN;0.48088258877931167
Hippocampus;DICE;STD;0.013719505817131357
Hippocampus;HDRFDST;MEAN;40.53799925562653
Hippocampus;HDRFDST;STD;3.7776469330554545
Thalamus;DICE;MEAN;0.6869238592852873
Thalamus;DICE;STD;0.0167719237652213
Thalamus;HDRFDST;MEAN;39.031526043244654
Thalamus;HDRFDST;STD;1.8275597761806057
WhiteMatter;DICE;MEAN;0.811661724917052
WhiteMatter;DICE;STD;0.017323992927024957
WhiteMatter;HDRFDST;MEAN;3.436176898402645
WhiteMatter;HDRFDST;STD;0.304447570008336
