LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5543948209958914
Amygdala;DICE;STD;0.049848272779355315
Amygdala;HDRFDST;MEAN;12.572226251591236
Amygdala;HDRFDST;STD;1.2406156047705532
GreyMatter;DICE;MEAN;0.7263570444382343
GreyMatter;DICE;STD;0.00837369005419613
GreyMatter;HDRFDST;MEAN;2.1892922226992164
GreyMatter;HDRFDST;STD;0.3271078776622815
Hippocampus;DICE;MEAN;0.5563614386032741
Hippocampus;DICE;STD;0.019316501152962993
Hippocampus;HDRFDST;MEAN;13.578360524238235
Hippocampus;HDRFDST;STD;1.1082082267375486
Thalamus;DICE;MEAN;0.7605551453094105
Thalamus;DICE;STD;0.02682008651573247
Thalamus;HDRFDST;MEAN;14.896711966772077
Thalamus;HDRFDST;STD;0.9939680975914776
WhiteMatter;DICE;MEAN;0.8241516444590697
WhiteMatter;DICE;STD;0.019085809167097494
WhiteMatter;HDRFDST;MEAN;2.84596027834029
WhiteMatter;HDRFDST;STD;0.31703326971984586
