LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5479780409142584
Amygdala;DICE;STD;0.048128195400282646
Amygdala;HDRFDST;MEAN;12.325800621452721
Amygdala;HDRFDST;STD;1.4052185026520814
GreyMatter;DICE;MEAN;0.7253640938320045
GreyMatter;DICE;STD;0.008203923473504723
GreyMatter;HDRFDST;MEAN;2.0921625697782753
GreyMatter;HDRFDST;STD;0.1511812872638722
Hippocampus;DICE;MEAN;0.5576808461962834
Hippocampus;DICE;STD;0.021124208999731147
Hippocampus;HDRFDST;MEAN;13.512003733334222
Hippocampus;HDRFDST;STD;1.012795690335457
Thalamus;DICE;MEAN;0.7577909336436228
Thalamus;DICE;STD;0.02859496101593745
Thalamus;HDRFDST;MEAN;12.809296221146422
Thalamus;HDRFDST;STD;2.3498787881343843
WhiteMatter;DICE;MEAN;0.8258829468364903
WhiteMatter;DICE;STD;0.01920383926548089
WhiteMatter;HDRFDST;MEAN;2.5264037667558106
WhiteMatter;HDRFDST;STD;0.3424675273979301
