LABEL;METRIC;STATISTIC;VALUE
Thalamus;DICE;MEAN;0.6458077219560355
Thalamus;DICE;STD;0.013339903902380526
Thalamus;HDRFDST;MEAN;48.442619255555236
Thalamus;HDRFDST;STD;3.9003384034349264
