LABEL;METRIC;STATISTIC;VALUE
Hippocampus;DICE;MEAN;0.5584045584045584
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;13.076696830622021
Hippocampus;HDRFDST;STD;0.0
