LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5009758210804977
Amygdala;DICE;STD;0.036150280440252786
Amygdala;HDRFDST;MEAN;24.155382261343938
Amygdala;HDRFDST;STD;1.5548336915408785
GreyMatter;DICE;MEAN;0.709855682282376
GreyMatter;DICE;STD;0.009090729550920232
GreyMatter;HDRFDST;MEAN;2.54203047781309
GreyMatter;HDRFDST;STD;0.48793549765246136
Hippocampus;DICE;MEAN;0.4626354438399011
Hippocampus;DICE;STD;0.014815028826020775
Hippocampus;HDRFDST;MEAN;46.166731306280255
Hippocampus;HDRFDST;STD;4.316586671633352
Thalamus;DICE;MEAN;0.6656373148129442
Thalamus;DICE;STD;0.020929610884884663
Thalamus;HDRFDST;MEAN;47.14250599811815
Thalamus;HDRFDST;STD;3.0796311820401154
WhiteMatter;DICE;MEAN;0.8149534713407128
WhiteMatter;DICE;STD;0.017338768510920213
WhiteMatter;HDRFDST;MEAN;3.4410593874786044
WhiteMatter;HDRFDST;STD;0.24312608219886697
