LABEL;METRIC;STATISTIC;VALUE
WhiteMatter;DICE;MEAN;0.8277442502548894
WhiteMatter;DICE;STD;0.018635826809454255
WhiteMatter;HDRFDST;MEAN;3.649125353335889
WhiteMatter;HDRFDST;STD;0.4288171587532578
