LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.46952109739360476
Amygdala;DICE;STD;0.05355254008351007
Amygdala;HDRFDST;MEAN;17.90503725835949
Amygdala;HDRFDST;STD;1.4864860499710493
GreyMatter;DICE;MEAN;0.7103869863549302
GreyMatter;DICE;STD;0.008428232688941936
GreyMatter;HDRFDST;MEAN;2.861124632979604
GreyMatter;HDRFDST;STD;0.64340176760507
Hippocampus;DICE;MEAN;0.37235323459669
Hippocampus;DICE;STD;0.013096183447292697
Hippocampus;HDRFDST;MEAN;20.59058499434409
Hippocampus;HDRFDST;STD;0.1667620780992166
Thalamus;DICE;MEAN;0.7123413590201304
Thalamus;DICE;STD;0.027162673105404978
Thalamus;HDRFDST;MEAN;9.206040881164133
Thalamus;HDRFDST;STD;1.4658824285510466
WhiteMatter;DICE;MEAN;0.8212242640690345
WhiteMatter;DICE;STD;0.01874423253386095
WhiteMatter;HDRFDST;MEAN;2.6649032308095304
WhiteMatter;HDRFDST;STD;0.3135135888935707
