LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5581523191270522
Amygdala;DICE;STD;0.04879794729495016
Amygdala;HDRFDST;MEAN;12.820959492158886
Amygdala;HDRFDST;STD;1.1928946728110286
GreyMatter;DICE;MEAN;0.7217273618061952
GreyMatter;DICE;STD;0.009399032818183172
GreyMatter;HDRFDST;MEAN;2.244948974278318
GreyMatter;HDRFDST;STD;0.40025504729700634
Hippocampus;DICE;MEAN;0.5551504045569835
Hippocampus;DICE;STD;0.018340704298224784
Hippocampus;HDRFDST;MEAN;15.873199954123834
Hippocampus;HDRFDST;STD;1.6252763507795076
Thalamus;DICE;MEAN;0.7537293762002668
Thalamus;DICE;STD;0.028420600709595543
Thalamus;HDRFDST;MEAN;14.936322340751918
Thalamus;HDRFDST;STD;1.2273039285992733
WhiteMatter;DICE;MEAN;0.8211722922462549
WhiteMatter;DICE;STD;0.019064343344474266
WhiteMatter;HDRFDST;MEAN;2.953410233768433
WhiteMatter;HDRFDST;STD;0.2781510220579656
