LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5501114425328094
Amygdala;DICE;STD;0.04869366506517054
Amygdala;HDRFDST;MEAN;12.303137432978225
Amygdala;HDRFDST;STD;1.3538128767484674
GreyMatter;DICE;MEAN;0.724239941092315
GreyMatter;DICE;STD;0.008195209251762663
GreyMatter;HDRFDST;MEAN;2.0921625697782753
GreyMatter;HDRFDST;STD;0.1511812872638722
Hippocampus;DICE;MEAN;0.5454052382697299
Hippocampus;DICE;STD;0.021142642268178045
Hippocampus;HDRFDST;MEAN;13.382839970893741
Hippocampus;HDRFDST;STD;0.9484694583637637
Thalamus;DICE;MEAN;0.7536786371041958
Thalamus;DICE;STD;0.029444201114368292
Thalamus;HDRFDST;MEAN;12.70692355845211
Thalamus;HDRFDST;STD;2.3095656906991686
WhiteMatter;DICE;MEAN;0.8263054750183583
WhiteMatter;DICE;STD;0.019124285968191088
WhiteMatter;HDRFDST;MEAN;2.5477459432841494
WhiteMatter;HDRFDST;STD;0.3301372570297995
