LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5500625940902995
Amygdala;DICE;STD;0.04935018506031022
Amygdala;HDRFDST;MEAN;12.362450735645677
Amygdala;HDRFDST;STD;1.3674106218446758
GreyMatter;DICE;MEAN;0.726929736333156
GreyMatter;DICE;STD;0.008333125877463245
GreyMatter;HDRFDST;MEAN;2.1135047463066146
GreyMatter;HDRFDST;STD;0.1819276981094761
Hippocampus;DICE;MEAN;0.5578129034762102
Hippocampus;DICE;STD;0.02045664345535432
Hippocampus;HDRFDST;MEAN;13.239942356704365
Hippocampus;HDRFDST;STD;1.0019612722783784
Thalamus;DICE;MEAN;0.7573738128219005
Thalamus;DICE;STD;0.02707501073296923
Thalamus;HDRFDST;MEAN;13.869503364836913
Thalamus;HDRFDST;STD;1.4271917925694146
WhiteMatter;DICE;MEAN;0.8254537697724302
WhiteMatter;DICE;STD;0.019128790505838156
WhiteMatter;HDRFDST;MEAN;2.695741732923815
WhiteMatter;HDRFDST;STD;0.36465944300526076
